id,device_id,sensor_type,value,timestamp
1505,1,umidade,41,2025-11-11 10:08:51.631956 +00:00
1506,1,gas,1097,2025-11-11 10:09:39.966287 +00:00
1507,1,gas,1095,2025-11-11 10:10:39.614245 +00:00
1508,1,temperatura,31.9,2025-11-11 10:10:50.036112 +00:00
1509,1,umidade,41,2025-11-11 10:10:51.745060 +00:00
1510,1,gas,1103,2025-11-11 10:11:39.518826 +00:00
1511,1,temperatura,32,2025-11-11 10:11:49.900872 +00:00
1512,1,umidade,41,2025-11-11 10:11:51.664941 +00:00
1513,1,gas,1106,2025-11-11 10:12:39.562629 +00:00
1514,1,temperatura,32,2025-11-11 10:12:50.014670 +00:00
1515,1,umidade,41,2025-11-11 10:12:51.954372 +00:00
1516,1,gas,1093,2025-11-11 10:13:39.614805 +00:00
1517,1,temperatura,32,2025-11-11 10:13:50.013915 +00:00
1518,1,umidade,41,2025-11-11 10:13:51.717563 +00:00
1519,1,gas,1104,2025-11-11 10:14:39.639327 +00:00
1520,1,temperatura,32,2025-11-11 10:14:50.133888 +00:00
1521,1,umidade,41,2025-11-11 10:14:52.007894 +00:00
1522,1,gas,1094,2025-11-11 10:15:39.594330 +00:00
1523,1,temperatura,32.1,2025-11-11 10:15:50.073268 +00:00
1524,1,umidade,41,2025-11-11 10:15:51.800184 +00:00
1525,1,gas,1090,2025-11-11 10:16:39.588860 +00:00
1526,1,temperatura,32.1,2025-11-11 10:16:50.075590 +00:00
1527,1,umidade,41,2025-11-11 10:16:51.815712 +00:00
1528,1,gas,1104,2025-11-11 10:17:39.602324 +00:00
1529,1,temperatura,32.1,2025-11-11 10:17:50.149958 +00:00
1530,1,umidade,42,2025-11-11 10:17:51.918115 +00:00
1531,1,gas,1104,2025-11-11 10:18:39.602708 +00:00
1532,1,temperatura,32.1,2025-11-11 10:18:50.155087 +00:00
1533,1,umidade,41,2025-11-11 10:18:51.921697 +00:00
1534,1,gas,1103,2025-11-11 10:19:39.652134 +00:00
1535,1,temperatura,32.1,2025-11-11 10:19:50.130565 +00:00
1536,1,umidade,41,2025-11-11 10:19:51.940923 +00:00
1537,1,gas,1097,2025-11-11 10:20:39.517144 +00:00
1538,1,temperatura,32.1,2025-11-11 10:20:50.513430 +00:00
1539,1,umidade,41,2025-11-11 10:20:52.316392 +00:00
1540,1,gas,1100,2025-11-11 10:21:39.829469 +00:00
1541,1,temperatura,32.1,2025-11-11 10:21:50.271405 +00:00
1542,1,umidade,41,2025-11-11 10:21:52.059604 +00:00
1543,1,gas,1102,2025-11-11 10:22:39.663657 +00:00
1544,1,temperatura,32.1,2025-11-11 10:22:50.531494 +00:00
1545,1,umidade,41,2025-11-11 10:22:52.303827 +00:00
1546,1,gas,1101,2025-11-11 10:23:39.896178 +00:00
1547,1,temperatura,32.1,2025-11-11 10:23:50.613579 +00:00
1548,1,umidade,41,2025-11-11 10:23:52.549993 +00:00
1549,1,gas,1094,2025-11-11 10:24:39.563234 +00:00
1550,1,temperatura,32.1,2025-11-11 10:24:50.650803 +00:00
1551,1,umidade,41,2025-11-11 10:24:52.448941 +00:00
1552,1,gas,1103,2025-11-11 10:25:39.654750 +00:00
1553,1,temperatura,32.1,2025-11-11 10:25:50.447631 +00:00
1554,1,umidade,41,2025-11-11 10:25:52.222216 +00:00
1555,1,gas,1092,2025-11-11 10:26:39.854397 +00:00
2,1,temperatura,26.5,2025-11-10 22:16:59.445933 +00:00
3,1,umidade,28,2025-11-10 22:17:01.173315 +00:00
21,1,gas,1249,2025-11-10 22:25:59.144052 +00:00
22,1,temperatura,27.6,2025-11-10 22:25:59.364295 +00:00
23,1,umidade,25,2025-11-10 22:26:01.063683 +00:00
24,1,gas,1245,2025-11-10 22:26:57.957781 +00:00
25,1,gas,1263,2025-11-10 22:27:57.918169 +00:00
26,1,gas,1253,2025-11-10 22:28:58.011986 +00:00
27,1,gas,1252,2025-11-10 22:29:57.959367 +00:00
28,1,gas,1283,2025-11-10 22:30:58.992978 +00:00
29,1,temperatura,28.1,2025-11-10 22:30:59.438188 +00:00
30,1,umidade,24,2025-11-10 22:31:01.533624 +00:00
31,1,gas,1257,2025-11-10 22:31:58.929468 +00:00
32,1,temperatura,28.2,2025-11-10 22:31:59.593454 +00:00
33,1,umidade,23,2025-11-10 22:32:01.333418 +00:00
34,1,gas,1256,2025-11-10 22:32:59.213068 +00:00
35,1,temperatura,28.2,2025-11-10 22:32:59.511052 +00:00
36,1,umidade,23,2025-11-10 22:33:01.256807 +00:00
37,1,gas,1261,2025-11-10 22:33:59.006370 +00:00
38,1,temperatura,28.3,2025-11-10 22:33:59.445488 +00:00
39,1,umidade,23,2025-11-10 22:34:01.237031 +00:00
40,1,temperatura,28.3,2025-11-10 22:34:59.389755 +00:00
41,1,gas,1281,2025-11-10 22:35:00.078132 +00:00
42,1,gas,1280,2025-11-10 22:35:59.124955 +00:00
43,1,temperatura,28.3,2025-11-10 22:35:59.563411 +00:00
44,1,umidade,23,2025-11-10 22:36:01.171130 +00:00
45,1,gas,1264,2025-11-10 22:36:59.074968 +00:00
46,1,temperatura,28.3,2025-11-10 22:36:59.620808 +00:00
47,1,gas,1264,2025-11-10 22:37:59.146621 +00:00
48,1,temperatura,28.3,2025-11-10 22:37:59.586239 +00:00
49,1,umidade,23,2025-11-10 22:38:01.254762 +00:00
50,1,gas,1280,2025-11-10 22:38:58.885297 +00:00
51,1,temperatura,28.3,2025-11-10 22:38:59.411528 +00:00
1265,1,temperatura,31.6,2025-11-11 08:47:47.469804 +00:00
1266,1,umidade,40,2025-11-11 08:47:49.170141 +00:00
1267,1,gas,1098,2025-11-11 08:48:39.284269 +00:00
1268,1,temperatura,31.6,2025-11-11 08:48:47.492235 +00:00
1269,1,umidade,40,2025-11-11 08:48:49.238048 +00:00
1270,1,gas,1106,2025-11-11 08:49:39.254027 +00:00
1271,1,temperatura,31.6,2025-11-11 08:49:47.623369 +00:00
1272,1,umidade,40,2025-11-11 08:49:49.346813 +00:00
1273,1,gas,1094,2025-11-11 08:50:39.336587 +00:00
1274,1,temperatura,31.6,2025-11-11 08:50:47.609376 +00:00
1275,1,umidade,40,2025-11-11 08:50:49.352025 +00:00
1276,1,gas,1094,2025-11-11 08:51:39.302522 +00:00
1277,1,temperatura,31.6,2025-11-11 08:51:47.704134 +00:00
1278,1,umidade,40,2025-11-11 08:51:49.481635 +00:00
1279,1,gas,1100,2025-11-11 08:52:39.315530 +00:00
1280,1,temperatura,31.6,2025-11-11 08:52:47.708633 +00:00
1281,1,umidade,40,2025-11-11 08:52:49.386205 +00:00
1282,1,gas,1102,2025-11-11 08:53:39.315675 +00:00
1283,1,temperatura,31.6,2025-11-11 08:53:47.730275 +00:00
1284,1,umidade,40,2025-11-11 08:53:49.465162 +00:00
1285,1,gas,1096,2025-11-11 08:54:39.362572 +00:00
1286,1,temperatura,31.6,2025-11-11 08:54:47.726302 +00:00
1287,1,umidade,40,2025-11-11 08:54:49.480888 +00:00
1288,1,gas,1101,2025-11-11 08:55:39.370808 +00:00
1289,1,temperatura,31.5,2025-11-11 08:55:47.730672 +00:00
1290,1,umidade,40,2025-11-11 08:55:49.487902 +00:00
1291,1,gas,1099,2025-11-11 08:56:39.380513 +00:00
1292,1,temperatura,31.5,2025-11-11 08:56:47.774725 +00:00
1293,1,umidade,40,2025-11-11 08:56:49.515942 +00:00
1294,1,gas,1097,2025-11-11 08:57:39.488086 +00:00
1295,1,temperatura,31.5,2025-11-11 08:57:47.843954 +00:00
1296,1,umidade,41,2025-11-11 08:57:49.608042 +00:00
1297,1,gas,1098,2025-11-11 08:58:39.351899 +00:00
1298,1,temperatura,31.5,2025-11-11 08:58:47.898212 +00:00
1299,1,umidade,41,2025-11-11 08:58:49.614591 +00:00
1300,1,gas,1101,2025-11-11 08:59:39.363098 +00:00
1301,1,temperatura,31.5,2025-11-11 08:59:47.871356 +00:00
1302,1,umidade,41,2025-11-11 08:59:49.618504 +00:00
1303,1,gas,1106,2025-11-11 09:00:39.407499 +00:00
1304,1,temperatura,31.5,2025-11-11 09:00:47.834836 +00:00
1305,1,umidade,41,2025-11-11 09:00:49.635165 +00:00
1306,1,gas,1104,2025-11-11 09:01:39.313690 +00:00
1307,1,temperatura,31.5,2025-11-11 09:01:47.973005 +00:00
1308,1,umidade,41,2025-11-11 09:01:49.754019 +00:00
1309,1,gas,1102,2025-11-11 09:02:39.376533 +00:00
1310,1,temperatura,31.5,2025-11-11 09:02:47.920442 +00:00
1311,1,umidade,41,2025-11-11 09:02:49.595880 +00:00
1312,1,gas,1104,2025-11-11 09:03:39.389994 +00:00
1313,1,temperatura,31.5,2025-11-11 09:03:47.990457 +00:00
1314,1,umidade,41,2025-11-11 09:03:49.752380 +00:00
1315,1,gas,1103,2025-11-11 09:04:39.433809 +00:00
1316,1,temperatura,31.5,2025-11-11 09:04:47.993293 +00:00
1317,1,umidade,41,2025-11-11 09:04:49.748381 +00:00
1318,1,gas,1092,2025-11-11 09:05:39.368327 +00:00
1319,1,temperatura,31.6,2025-11-11 09:05:48.012259 +00:00
1320,1,umidade,41,2025-11-11 09:05:49.755381 +00:00
1321,1,gas,1104,2025-11-11 09:06:39.449132 +00:00
1322,1,temperatura,31.6,2025-11-11 09:06:48.108513 +00:00
1323,1,umidade,41,2025-11-11 09:06:49.846239 +00:00
1324,1,gas,1104,2025-11-11 09:07:39.420544 +00:00
1325,1,temperatura,31.5,2025-11-11 09:07:48.121550 +00:00
1326,1,umidade,41,2025-11-11 09:07:49.846388 +00:00
1327,1,gas,1098,2025-11-11 09:08:39.462265 +00:00
1328,1,temperatura,31.5,2025-11-11 09:08:48.100666 +00:00
1329,1,umidade,41,2025-11-11 09:08:49.889596 +00:00
1330,1,gas,1097,2025-11-11 09:09:39.325062 +00:00
1331,1,temperatura,31.5,2025-11-11 09:09:48.135062 +00:00
1332,1,umidade,41,2025-11-11 09:09:49.826405 +00:00
1333,1,gas,1097,2025-11-11 09:10:39.372744 +00:00
1334,1,temperatura,31.5,2025-11-11 09:10:48.180312 +00:00
1335,1,umidade,41,2025-11-11 09:10:49.833922 +00:00
1336,1,gas,1103,2025-11-11 09:11:39.308469 +00:00
1337,1,temperatura,31.5,2025-11-11 09:11:48.288074 +00:00
1338,1,umidade,41,2025-11-11 09:11:49.942190 +00:00
1339,1,gas,1103,2025-11-11 09:12:39.388287 +00:00
1340,1,temperatura,31.5,2025-11-11 09:12:48.308667 +00:00
1341,1,umidade,41,2025-11-11 09:12:49.949745 +00:00
1342,1,gas,1104,2025-11-11 09:13:39.402128 +00:00
1343,1,temperatura,31.5,2025-11-11 09:13:48.303667 +00:00
1344,1,umidade,41,2025-11-11 09:13:50.096226 +00:00
1345,1,gas,1104,2025-11-11 09:14:39.402259 +00:00
1346,1,temperatura,31.5,2025-11-11 09:14:48.418908 +00:00
1347,1,umidade,41,2025-11-11 09:14:50.110017 +00:00
1348,1,gas,1105,2025-11-11 09:15:39.368088 +00:00
1349,1,temperatura,31.5,2025-11-11 09:15:48.419570 +00:00
1350,1,umidade,41,2025-11-11 09:15:50.131966 +00:00
1351,1,gas,1101,2025-11-11 09:16:39.415437 +00:00
1352,1,temperatura,31.5,2025-11-11 09:16:48.324991 +00:00
1353,1,umidade,41,2025-11-11 09:16:50.045531 +00:00
1354,1,gas,1110,2025-11-11 09:17:39.380206 +00:00
1355,1,temperatura,31.5,2025-11-11 09:17:48.433841 +00:00
1356,1,umidade,41,2025-11-11 09:17:50.173744 +00:00
1357,1,gas,1102,2025-11-11 09:18:39.391392 +00:00
1358,1,temperatura,31.5,2025-11-11 09:18:48.545167 +00:00
1359,1,umidade,41,2025-11-11 09:18:50.233385 +00:00
1360,1,gas,1103,2025-11-11 09:19:39.538786 +00:00
1361,1,temperatura,31.5,2025-11-11 09:19:48.405867 +00:00
52,1,gas,1268,2025-11-10 22:39:58.832921 +00:00
53,1,temperatura,28.3,2025-11-10 22:39:59.431957 +00:00
54,1,gas,1269,2025-11-10 22:40:58.827769 +00:00
55,1,temperatura,28.2,2025-11-10 22:40:59.371551 +00:00
56,1,gas,1264,2025-11-10 22:41:59.038688 +00:00
57,1,temperatura,28.2,2025-11-10 22:41:59.662527 +00:00
58,1,umidade,22,2025-11-10 22:42:01.395548 +00:00
59,1,gas,1264,2025-11-10 22:42:58.819337 +00:00
60,1,temperatura,28.2,2025-11-10 22:42:59.410722 +00:00
61,1,umidade,22,2025-11-10 22:43:01.011559 +00:00
62,1,gas,1254,2025-11-10 22:43:58.642960 +00:00
63,1,temperatura,28.1,2025-11-10 22:43:59.359166 +00:00
64,1,gas,1276,2025-11-10 22:44:58.787063 +00:00
65,1,temperatura,28.1,2025-11-10 22:44:59.473264 +00:00
66,1,gas,1263,2025-11-10 22:45:58.753712 +00:00
67,1,temperatura,28,2025-11-10 22:45:59.464316 +00:00
68,1,gas,1263,2025-11-10 22:46:58.547205 +00:00
69,1,temperatura,28,2025-11-10 22:46:59.312478 +00:00
70,1,gas,1273,2025-11-10 22:47:58.540288 +00:00
71,1,temperatura,28,2025-11-10 22:47:59.379615 +00:00
72,1,gas,1271,2025-11-10 22:48:58.647937 +00:00
73,1,temperatura,28,2025-11-10 22:48:59.440357 +00:00
74,1,gas,1295,2025-11-10 22:49:58.419442 +00:00
75,1,temperatura,28,2025-11-10 22:49:59.299077 +00:00
76,1,gas,1292,2025-11-10 22:50:58.299385 +00:00
77,1,temperatura,28,2025-11-10 22:50:59.403995 +00:00
78,1,umidade,21,2025-11-10 22:51:01.108877 +00:00
79,1,gas,1294,2025-11-10 22:51:58.859202 +00:00
80,1,temperatura,28,2025-11-10 22:51:59.789038 +00:00
81,1,gas,1291,2025-11-10 22:52:58.329453 +00:00
82,1,temperatura,28,2025-11-10 22:52:59.320236 +00:00
83,1,gas,1309,2025-11-10 22:53:58.394028 +00:00
84,1,temperatura,28,2025-11-10 22:53:59.465498 +00:00
85,1,gas,1325,2025-11-10 22:54:58.344951 +00:00
86,1,temperatura,28.1,2025-11-10 22:54:59.370978 +00:00
87,1,umidade,22,2025-11-10 22:55:01.143353 +00:00
88,1,gas,1317,2025-11-10 22:55:58.642386 +00:00
89,1,temperatura,28.1,2025-11-10 22:55:59.544388 +00:00
90,1,gas,1313,2025-11-10 22:56:58.371539 +00:00
91,1,temperatura,28.1,2025-11-10 22:56:59.437582 +00:00
92,1,gas,1319,2025-11-10 22:57:58.257803 +00:00
93,1,temperatura,28.2,2025-11-10 22:57:59.452181 +00:00
94,1,umidade,26,2025-11-10 22:58:01.148445 +00:00
95,1,gas,1318,2025-11-10 22:58:58.346219 +00:00
96,1,temperatura,28.3,2025-11-10 22:58:59.373332 +00:00
97,1,gas,1326,2025-11-10 22:59:58.387740 +00:00
98,1,temperatura,28.3,2025-11-10 22:59:59.463745 +00:00
99,1,gas,1309,2025-11-10 23:00:58.236880 +00:00
100,1,temperatura,28.3,2025-11-10 23:00:59.366407 +00:00
101,1,umidade,25,2025-11-10 23:01:01.068052 +00:00
102,1,gas,1316,2025-11-10 23:01:58.297742 +00:00
103,1,temperatura,28.3,2025-11-10 23:01:59.384782 +00:00
104,1,gas,1324,2025-11-10 23:02:58.179620 +00:00
105,1,temperatura,28.3,2025-11-10 23:02:59.401117 +00:00
106,1,gas,1326,2025-11-10 23:03:58.163788 +00:00
107,1,temperatura,28.3,2025-11-10 23:03:59.408767 +00:00
108,1,umidade,24,2025-11-10 23:04:01.092751 +00:00
109,1,gas,1315,2025-11-10 23:04:58.201091 +00:00
110,1,temperatura,28.3,2025-11-10 23:04:59.385932 +00:00
111,1,gas,1314,2025-11-10 23:05:58.321767 +00:00
112,1,temperatura,28.2,2025-11-10 23:05:59.560033 +00:00
113,1,gas,1315,2025-11-10 23:06:58.133517 +00:00
114,1,temperatura,28.1,2025-11-10 23:06:59.459181 +00:00
115,1,umidade,23,2025-11-10 23:07:01.216974 +00:00
116,1,gas,1321,2025-11-10 23:07:58.311169 +00:00
117,1,temperatura,28,2025-11-10 23:07:59.535320 +00:00
118,1,gas,1318,2025-11-10 23:08:58.273303 +00:00
119,1,temperatura,27.9,2025-11-10 23:08:59.881457 +00:00
120,1,gas,1325,2025-11-10 23:09:58.070431 +00:00
121,1,temperatura,27.8,2025-11-10 23:09:59.538542 +00:00
122,1,umidade,23,2025-11-10 23:10:01.246141 +00:00
123,1,gas,1314,2025-11-10 23:10:58.213461 +00:00
124,1,temperatura,27.8,2025-11-10 23:10:59.504701 +00:00
125,1,gas,1323,2025-11-10 23:11:58.178160 +00:00
126,1,temperatura,27.7,2025-11-10 23:11:59.650767 +00:00
127,1,gas,1317,2025-11-10 23:12:58.250167 +00:00
128,1,temperatura,27.6,2025-11-10 23:12:59.659277 +00:00
129,1,umidade,23,2025-11-10 23:13:01.327706 +00:00
130,1,gas,1322,2025-11-10 23:13:58.532455 +00:00
131,1,temperatura,27.6,2025-11-10 23:13:59.997512 +00:00
132,1,gas,1328,2025-11-10 23:14:58.193657 +00:00
133,1,temperatura,27.5,2025-11-10 23:14:59.773128 +00:00
134,1,umidade,22,2025-11-10 23:15:01.515766 +00:00
135,1,gas,1325,2025-11-10 23:15:58.423493 +00:00
136,1,temperatura,27.5,2025-11-10 23:15:59.927252 +00:00
137,1,umidade,22,2025-11-10 23:16:01.818195 +00:00
138,1,gas,1323,2025-11-10 23:16:58.245990 +00:00
139,1,gas,1315,2025-11-10 23:17:58.220761 +00:00
140,1,temperatura,27.4,2025-11-10 23:17:59.864079 +00:00
141,1,umidade,23,2025-11-10 23:18:01.660374 +00:00
142,1,gas,1321,2025-11-10 23:18:58.118024 +00:00
143,1,temperatura,27.3,2025-11-10 23:19:00.013069 +00:00
144,1,umidade,23,2025-11-10 23:19:01.848197 +00:00
145,1,gas,1328,2025-11-10 23:19:58.176277 +00:00
146,1,temperatura,27.3,2025-11-10 23:20:00.017925 +00:00
147,1,umidade,23,2025-11-10 23:20:02.035980 +00:00
148,1,gas,1325,2025-11-10 23:20:58.117344 +00:00
149,1,temperatura,27.2,2025-11-10 23:20:59.905038 +00:00
150,1,umidade,23,2025-11-10 23:21:01.573436 +00:00
151,1,gas,1320,2025-11-10 23:21:58.140636 +00:00
152,1,temperatura,27.2,2025-11-10 23:21:59.984710 +00:00
153,1,umidade,23,2025-11-10 23:22:01.749076 +00:00
154,1,gas,1314,2025-11-10 23:22:58.318871 +00:00
155,1,temperatura,27.2,2025-11-10 23:23:00.015516 +00:00
156,1,umidade,23,2025-11-10 23:23:01.728473 +00:00
157,1,gas,1342,2025-11-10 23:23:58.196616 +00:00
158,1,temperatura,27.2,2025-11-10 23:23:59.997311 +00:00
159,1,umidade,22,2025-11-10 23:24:01.745162 +00:00
160,1,gas,1321,2025-11-10 23:24:58.119203 +00:00
161,1,temperatura,27.1,2025-11-10 23:25:00.116832 +00:00
162,1,umidade,22,2025-11-10 23:25:01.856254 +00:00
163,1,gas,1325,2025-11-10 23:25:58.163987 +00:00
164,1,temperatura,27.1,2025-11-10 23:26:00.114205 +00:00
165,1,umidade,22,2025-11-10 23:26:01.879532 +00:00
166,1,gas,1327,2025-11-10 23:26:58.094916 +00:00
167,1,temperatura,27.1,2025-11-10 23:27:00.049242 +00:00
168,1,umidade,22,2025-11-10 23:27:01.759366 +00:00
169,1,gas,1100,2025-11-10 23:52:55.647939 +00:00
170,1,gas,1324,2025-11-10 23:53:56.811182 +00:00
171,1,temperatura,24.9,2025-11-10 23:53:56.918876 +00:00
172,1,umidade,25,2025-11-10 23:53:58.544073 +00:00
173,1,gas,1312,2025-11-10 23:54:55.558974 +00:00
174,1,gas,1304,2025-11-10 23:55:56.774161 +00:00
175,1,temperatura,25,2025-11-10 23:55:56.928429 +00:00
176,1,umidade,25,2025-11-10 23:55:58.529460 +00:00
177,1,gas,1310,2025-11-10 23:56:55.750820 +00:00
178,1,gas,1327,2025-11-10 23:57:56.655468 +00:00
179,1,temperatura,25.2,2025-11-10 23:57:57.013096 +00:00
180,1,umidade,25,2025-11-10 23:57:58.712797 +00:00
181,1,gas,1327,2025-11-10 23:58:56.634933 +00:00
182,1,temperatura,25.4,2025-11-10 23:58:57.171438 +00:00
183,1,umidade,25,2025-11-10 23:58:59.171661 +00:00
184,1,gas,1327,2025-11-10 23:59:56.856135 +00:00
185,1,temperatura,25.5,2025-11-10 23:59:57.036494 +00:00
186,1,umidade,25,2025-11-10 23:59:58.662786 +00:00
187,1,gas,1333,2025-11-11 00:00:55.682666 +00:00
188,1,gas,1325,2025-11-11 00:01:56.772491 +00:00
189,1,temperatura,25.7,2025-11-11 00:01:57.029967 +00:00
190,1,umidade,24,2025-11-11 00:01:58.711001 +00:00
191,1,gas,1310,2025-11-11 00:02:57.415591 +00:00
192,1,temperatura,25.8,2025-11-11 00:02:57.422068 +00:00
193,1,umidade,24,2025-11-11 00:02:59.031648 +00:00
194,1,gas,1301,2025-11-11 00:03:55.551666 +00:00
195,1,gas,1306,2025-11-11 00:04:55.535420 +00:00
196,1,gas,1307,2025-11-11 00:05:56.646802 +00:00
197,1,temperatura,25.9,2025-11-11 00:05:57.144631 +00:00
198,1,umidade,23,2025-11-11 00:05:58.842799 +00:00
199,1,gas,1299,2025-11-11 00:06:56.404023 +00:00
200,1,temperatura,25.9,2025-11-11 00:06:56.905372 +00:00
201,1,umidade,23,2025-11-11 00:06:58.540947 +00:00
202,1,gas,1293,2025-11-11 00:07:56.415592 +00:00
203,1,temperatura,26,2025-11-11 00:07:57.061739 +00:00
204,1,umidade,23,2025-11-11 00:07:58.688715 +00:00
205,1,gas,1290,2025-11-11 00:08:56.368029 +00:00
206,1,temperatura,26,2025-11-11 00:08:57.057681 +00:00
207,1,umidade,23,2025-11-11 00:08:58.732336 +00:00
208,1,gas,1283,2025-11-11 00:09:56.302111 +00:00
209,1,temperatura,26,2025-11-11 00:09:56.950725 +00:00
210,1,umidade,23,2025-11-11 00:09:58.846360 +00:00
211,1,gas,1282,2025-11-11 00:10:56.365830 +00:00
212,1,temperatura,26.1,2025-11-11 00:10:56.931584 +00:00
213,1,umidade,23,2025-11-11 00:10:58.522720 +00:00
214,1,gas,1295,2025-11-11 00:11:56.291881 +00:00
215,1,temperatura,26.1,2025-11-11 00:11:56.941398 +00:00
216,1,umidade,23,2025-11-11 00:11:58.538572 +00:00
217,1,gas,1297,2025-11-11 00:12:55.652892 +00:00
218,1,gas,1283,2025-11-11 00:13:55.555127 +00:00
219,1,gas,1281,2025-11-11 00:14:56.208741 +00:00
220,1,temperatura,26.1,2025-11-11 00:14:56.943157 +00:00
221,1,umidade,23,2025-11-11 00:14:58.649056 +00:00
